jam_id,type,level,severity,line_coordinates,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,publish_datetime_utc,update_datetime_utc,country,city,street
1112270744,NONE,5,5,"LINESTRING(-7.665261 33.555456, -7.664121 33.555586, -7.663982 33.555543)",,,0.0,121,0,155425179,ROAD_CLOSED_EVENT,,2025-06-23T17:00:10.257Z,2025-06-04T21:43:00.000Z,2025-06-23T17:02:30.712Z,2025-06-29T19:22:46.700Z,MO,Casablanca - الدار البيضاء,
235363026,NONE,2,5,"LINESTRING(-7.673595 33.57728, -7.673468 33.577093, -7.673262 33.576823, -7.672897 33.576373, -7.672683 33.576067, -7.672467 33.575755, -7.672233 33.575423, -7.672034 33.575116, -7.671817 33.574781, -7.671598 33.574444, -7.671252 33.573958, -7.670986 33.573717, -7.670404 33.573306, -7.670227 33.573124, -7.670082 33.572935, -7.669792 33.572507, -7.669169 33.571484, -7.669137 33.571432, -7.668874 33.570975, -7.668729 33.570773, -7.668453 33.570484, -7.668116 33.570241, -7.668018 33.570203)",,,16.71,950,98,,,,,,2025-06-29T17:11:35.661Z,2025-06-29T19:22:43.318Z,MO,Casablanca - الدار البيضاء,Boulevard Sidi Abderrahmane
250081842,NONE,2,5,"LINESTRING(-7.528202 33.540106, -7.530477 33.539484, -7.534127 33.538472, -7.538861 33.537081)",,,19.26,1045,103,,,,,,2025-06-29T19:22:44.693Z,2025-06-29T19:22:44.693Z,MO,Lahraouyine - الهراويين,
249690678,NONE,2,5,"LINESTRING(-7.58401 33.543619, -7.584628 33.543279, -7.584763 33.543216, -7.58488 33.543177, -7.585287 33.543087, -7.585398 33.543073, -7.586111 33.542906, -7.58641 33.542861, -7.586672 33.542786, -7.587703 33.542568, -7.58797 33.54253, -7.588172 33.542488, -7.588266 33.542464, -7.59003 33.542077, -7.590233 33.542051, -7.590445 33.542009)",,,16.26,628,79,,,,,,2025-06-29T19:18:14.046Z,2025-06-29T19:22:43.657Z,MO,Casablanca - الدار البيضاء,Boulevard El Qods
238447062,NONE,2,5,"LINESTRING(-7.718955 33.567507, -7.717404 33.568021, -7.716543 33.568231, -7.714791 33.568477, -7.714147 33.568548, -7.713288 33.568569, -7.712906 33.56857, -7.712722 33.56857, -7.712005 33.56857, -7.711322 33.5686, -7.711052 33.568642, -7.71073 33.568754, -7.710414 33.568958, -7.710069 33.569246, -7.709795 33.569559, -7.709286 33.570139, -7.708887 33.570595)",,,20.08,1052,114,,,,,,2025-06-29T17:35:04.528Z,2025-06-29T19:22:44.159Z,MO,Casablanca - الدار البيضاء,Boulevard Biarritz
249122104,NONE,2,5,"LINESTRING(-7.52122 33.570726, -7.520112 33.571372, -7.518731 33.571951, -7.518181 33.572103, -7.517646 33.572269, -7.517383 33.572353, -7.516556 33.572638)",,,14.18,484,69,,,,,,2025-06-29T19:11:26.340Z,2025-06-29T19:22:43.364Z,MO,Casablanca - الدار البيضاء,Boulevard Mohamed Jamal Addora
248733746,NONE,4,5,"LINESTRING(-7.812924 33.515261, -7.814293 33.514826, -7.815389 33.514487, -7.817187 33.513998)",,,3.56,421,399,,,,,,2025-06-29T19:06:54.181Z,2025-06-29T19:22:44.529Z,MO,Dar Bouazza - دار بوعزة,R320
248730160,NONE,2,5,"LINESTRING(-7.569309 33.550511, -7.570088 33.550039, -7.570936 33.549531, -7.571885 33.548951, -7.572323 33.54869, -7.57263 33.548508, -7.573421 33.548021, -7.574259 33.547507, -7.575314 33.546881)",,,17.07,687,72,,,,,,2025-06-29T19:06:55.679Z,2025-06-29T19:22:45.996Z,MO,Casablanca - الدار البيضاء,Boulevard Commandant Driss Al Harti
249141050,NONE,3,5,"LINESTRING(-7.710235 33.566758, -7.709106 33.567312, -7.708607 33.567607, -7.707949 33.568055, -7.70715 33.568606, -7.706746 33.568829, -7.706741 33.568831, -7.706029 33.569225, -7.704843 33.569837, -7.704591 33.569952, -7.704516 33.569988, -7.703647 33.570296, -7.703482 33.57033, -7.702746 33.570464, -7.702192 33.57053, -7.701836 33.570573, -7.70031 33.570712)",,,14.39,1043,177,,,,,,2025-06-29T19:11:25.763Z,2025-06-29T19:22:42.910Z,MO,Casablanca - الدار البيضاء,R320 - Boulevard Abdelhadi Boutaleb
248360488,NONE,4,5,"LINESTRING(-7.817652 33.513626, -7.817648 33.513626, -7.8176 33.513626, -7.817526 33.51363, -7.817445 33.513641, -7.817363 33.513663, -7.817287 33.513689, -7.817221 33.51372, -7.817164 33.513753, -7.817116 33.513785, -7.817079 33.513817, -7.817052 33.513849, -7.817036 33.513879, -7.817033 33.513908, -7.817041 33.513933, -7.817062 33.513955, -7.817093 33.513973, -7.817135 33.513987, -7.817187 33.513998, -7.817247 33.514003, -7.817263 33.514003, -7.817333 33.514003, -7.817409 33.513997, -7.817491 33.513983, -7.817538 33.513972, -7.817615 33.513945, -7.817683 33.513914, -7.817742 33.513883, -7.817792 33.513849, -7.817831 33.513818, -7.81786 33.513786, -7.817877 33.513756, -7.817883 33.513727, -7.817877 33.5137, -7.817859 33.513678, -7.817829 33.513658, -7.817813 33.513652, -7.817768 33.513638, -7.817714 33.51363, -7.817652 33.513626)",,,3.58,193,169,,,,,,2025-06-29T19:02:16.759Z,2025-06-29T19:22:46.164Z,MO,Dar Bouazza - دار بوعزة,
250120706,NONE,3,5,"LINESTRING(-7.670796 33.573832, -7.670986 33.573717, -7.671335 33.573564, -7.671552 33.57347, -7.672315 33.573149, -7.672833 33.572932, -7.673325 33.572716, -7.674546 33.572181, -7.674987 33.571985, -7.675176 33.571898, -7.675603 33.571707, -7.67579 33.571625, -7.675978 33.571545, -7.676123 33.571483, -7.676447 33.57134, -7.677037 33.571091, -7.677462 33.570911, -7.677649 33.570826, -7.678679 33.570372)",,,11.8,828,163,,,,,,2025-06-29T19:22:44.041Z,2025-06-29T19:22:44.041Z,MO,Casablanca - الدار البيضاء,Boulevard d'Afghanistan
249137194,NONE,3,5,"LINESTRING(-7.6545 33.533772, -7.654155 33.533668, -7.653815 33.533543, -7.65169 33.532919, -7.651104 33.532738, -7.650799 33.532663, -7.649554 33.532283, -7.649099 33.532158, -7.648477 33.532013, -7.648066 33.531934, -7.647984 33.531909)",,,10.75,640,156,,,,,,2025-06-29T19:11:25.782Z,2025-06-29T19:22:42.923Z,MO,Casablanca - الدار البيضاء,Boulevard El Qods
250071058,NONE,2,5,"LINESTRING(-7.676182 33.559401, -7.67504 33.559748, -7.673875 33.560078, -7.673099 33.560297, -7.672575 33.560458, -7.672323 33.560511, -7.671736 33.560679, -7.67047 33.561096, -7.670117 33.561219, -7.669599 33.561392, -7.669285 33.5615)",,,18.4,681,68,,,,,,2025-06-29T19:22:43.422Z,2025-06-29T19:22:43.422Z,MO,Casablanca - الدار البيضاء,Boulevard Oued Oum Rabii
248128572,NONE,3,5,"LINESTRING(-7.59865 33.571617, -7.597261 33.571853, -7.597009 33.571894, -7.59657 33.57197, -7.595892 33.572087, -7.594595 33.57231)",,,7.85,385,126,,,,,,2025-06-29T18:59:57.906Z,2025-06-29T19:22:44.658Z,MO,Casablanca - الدار البيضاء,Boulevard Al Fida
245108836,NONE,4,5,"LINESTRING(-7.516469 33.607275, -7.515614 33.607658, -7.513995 33.608377, -7.512218 33.609184, -7.511648 33.609439)",,,6.61,508,224,,,,,,2025-06-29T18:30:03.740Z,2025-06-29T19:22:43.328Z,MO,Casablanca - الدار البيضاء,Boulevard Abou Dar Al Ghifari
247654202,NONE,2,5,"LINESTRING(-7.685892 33.569766, -7.685471 33.569251, -7.685103 33.56881, -7.684881 33.568544, -7.684713 33.568326, -7.684598 33.568177, -7.684527 33.568055, -7.684369 33.567781, -7.684237 33.567553, -7.683984 33.567115, -7.683619 33.566483, -7.683412 33.566049, -7.683294 33.565705, -7.683214 33.565316, -7.683152 33.56499, -7.683123 33.564702, -7.683129 33.564295, -7.683167 33.564145, -7.683428 33.563323, -7.683544 33.56305, -7.683758 33.562688, -7.683812 33.562614, -7.685469 33.560353)",,,16.79,1164,145,,,,,,2025-06-29T18:55:22.894Z,2025-06-29T19:22:43.557Z,MO,Casablanca - الدار البيضاء,Route Sidi Al Khadir
249947676,NONE,3,5,"LINESTRING(-7.530886 33.600528, -7.530993 33.600086, -7.530989 33.599908, -7.531 33.59952, -7.530994 33.599437, -7.530966 33.599399, -7.53091 33.598683, -7.530797 33.597854, -7.530626 33.59723, -7.530579 33.597061, -7.530391 33.596403, -7.530319 33.596162, -7.529913 33.594865)",,,14.75,642,101,,,,,,2025-06-29T19:20:30.869Z,2025-06-29T19:22:43.983Z,MO,Casablanca - الدار البيضاء,Route de Chabbou
247457346,NONE,3,5,"LINESTRING(-7.700474 33.573645, -7.700537 33.573863, -7.70061 33.574107, -7.700729 33.574347, -7.701374 33.575384, -7.701632 33.575737, -7.70173 33.575831, -7.702363 33.576297, -7.703727 33.577278)",,,9.87,517,141,,,,,,2025-06-29T18:53:09.507Z,2025-06-29T19:22:43.573Z,MO,Casablanca - الدار البيضاء,Route de Sidi Abderrahmane
