ID,CENTER_LON,CENTER_LAT,AA_MINS,AA_MODE,TOTAL_POP
,"-8.011669700890282","31.62091744079866",10,driving-car,"962289"
,"-8.022794839092171","31.63893606459396",10,driving-car,"897050"
,"-8.015481053567747","31.663873767462995",10,driving-car,"521639"
,"-8.022619039309838","31.638324176644012",10,driving-car,"898073"
,"-8.01939327321017","31.651915662951435",10,driving-car,"747231"
,"-7.983020208980002","31.57897529973296",10,driving-car,"644634"
,"-8.00155061551304","31.640286002731642",10,driving-car,"971906"
,"-8.010221163679581","31.636032742711823",10,driving-car,"918421"
,"-8.021984132853774","31.63771917485356",10,driving-car,"907109"
,"-8.00761242352431","31.628685596444246",10,driving-car,"916699"
,"-8.008609217851568","31.637591180813995",10,driving-car,"974562"
,"-8.02356360148949","31.63938779182111",10,driving-car,"890486"
,"-8.021661018526384","31.638892880867715",10,driving-car,"919842"
,"-8.014200371914526","31.635236656007425",10,driving-car,"875450"
,"-8.028701790013942","31.630563595649516",10,driving-car,"639568"
,"-5.53865431841413","33.89480701638066",10,driving-car,"502938"
,"-5.546772612630479","33.90202061432916",10,driving-car,"498265"
,"-5.5443676","33.8943818",10,driving-car,"527084"
,"-6.8463540805528265","34.00039143342204",10,driving-car,"637926"
,"-6.830536647273317","34.02117636077163",10,driving-car,"1059507"
,"-6.851459790894951","34.00446639594497",10,driving-car,"598847"
,"-6.828182026767654","34.02021819842243",10,driving-car,"990165"
,"-6.829516861405362","33.96866083179454",10,driving-car,"455105"
,"-6.8497185089287775","33.99436351010204",10,driving-car,"606282"
,"-6.85124826321496","33.98891916228623",10,driving-car,"599858"
,"-6.848607241301252","34.00346750025799",10,driving-car,"564636"
,"-6.864961483718513","33.962545127413385",10,driving-car,"637036"
,"-6.85102345690879","33.98910226496214",10,driving-car,"598615"
,"-6.8679135500822905","33.95639804431913",10,driving-car,"643743"
,"-6.830262559527374","33.962175924317926",10,driving-car,"492539"
,"-6.827231801728031","34.02112508189372",10,driving-car,"1075393"
,"-1.941652429927816","34.700887045438286",10,driving-car,"333669"
,"-1.913169878938255","34.702316340302865",10,driving-car,"524246"
,"-1.9170258597619645","34.68381706649619",10,driving-car,"576926"
,"-1.9146691684067796","34.68485661443981",10,driving-car,"576677"
,"-1.917393632110865","34.68380612868075",10,driving-car,"577115"
,"-1.9150532495789707","34.68167348588538",10,driving-car,"572668"
,"-6.5865227158526976","34.260089465395815",10,driving-car,"467577"
,"-6.590325475801521","34.25871653885249",10,driving-car,"453959"
,"-6.583814224563701","34.262552577027975",10,driving-car,"453410"
,"-6.588060664641968","34.25769775027689",10,driving-car,"463903"
,"-6.584145031551321","34.2637332317485",10,driving-car,"469847"
,"-9.605372366907115","30.42373327914555",10,driving-car,"360254"
,"-9.611567054483876","30.424671874714562",10,driving-car,"252995"
,"-9.592378856631452","30.413178797505445",10,driving-car,"397213"
,"-9.593233288549515","30.399825989317137",10,driving-car,"505629"
,"-9.600117446904918","30.413893513159366",10,driving-car,"401038"
,"-9.599449402162394","30.426453169757696",10,driving-car,"352546"
,"-9.606744172254492","30.422276804423905",10,driving-car,"344623"
,"-9.610061775123516","30.423743867210277",10,driving-car,"252661"
,"-9.595709816836177","30.417920926469364",10,driving-car,"417777"
,"-9.591361155318793","30.411517938886547",10,driving-car,"470502"
,"-5.321463508322547","35.68352197857617",10,driving-car,"66783"
,"-5.373727676009017","35.57518212941573",10,driving-car,"434106"
,"-6.959032603133093","33.925001268792656",10,driving-car,"342938"
,"-6.573515471432858","32.86568513177027",10,driving-car,"111220"
,"-8.49550070349655","33.237963720789494",10,driving-car,"248037"
,"-8.496676587340927","33.23964537294214",10,driving-car,"248675"
,"-6.374041220285366","32.33836187800875",10,driving-car,"238762"
,"-6.371747312880545","32.327752207805005",10,driving-car,"238476"
,"-9.604231645925559","30.423250592241608",10,driving-car,"370666"
,"-6.8463540805528265","34.00039143342204",10,driving-car,"637926"
,"-9.764585713761335","31.51530649645765",10,driving-car,"73708"
,"-9.491822323608673","30.347936356050678",10,driving-car,"395620"
,"-2.928414658843302","35.17071106506646",10,driving-car,"225521"
,"-5.7829150332838255","35.77469198261513",10,driving-car,"749214"
,"-7.395110248732727","33.70691959452198",10,driving-car,"314446"
,"-6.583814224563701","34.262552577027975",10,driving-car,"453410"
,"-10.056979841306108","28.983239605491004",10,driving-car,"127380"
,"-10.067241276306751","28.99226082443556",10,driving-car,"128046"
,"-10.05012317284377","28.984576327018747",10,driving-car,"127108"
,"-7.607318743621963","33.47467195088881",10,driving-car,"70027"
,"-7.638318894144045","33.480877247065486",10,driving-car,"190401"
,"-7.602713382592851","33.494153219183694",10,driving-car,"226709"
,"-6.694326833745918","32.491239617077866",10,driving-car,"134422"
,"-5.7061209975761455","34.22111315842133",10,driving-car,"109103"
,"-5.92441227152134","34.26151700672691",10,driving-car,"139831"
,"-3.3444402311971926","34.22539012133469",10,driving-car,"123979"
,"-7.6348326","33.5563835",10,driving-car,"1062919"
,"-6.8463540805528265","34.00039143342204",10,driving-car,"637926"
,"-8.8774225","30.4854957",10,driving-car,"92750"
,"-7.621872755166989","33.58377203133795",10,driving-car,"998161"
,"-9.592290885928172","30.410959842899537",10,driving-car,"489094"
,"-9.604178319582129","30.42323515566851",10,driving-car,"372349"
,"-9.598931516281302","30.415001291037633",10,driving-car,"471393"
,"-9.599250644702998","30.420310070027043",10,driving-car,"362692"
,"-7.592085632316739","33.59589052655059",10,driving-car,"1126746"
,"-9.763129931720075","31.504815535554588",10,driving-car,"74501"
,"-9.765516549080354","31.51530756445135",10,driving-car,"73476"
,"-9.764326193105957","31.516887534262302",10,driving-car,"73456"
,"-5.321463508322547","35.68352197857617",10,driving-car,"66783"
,"-9.723210769814894","29.68828145371011",10,driving-car,"85912"
,"-6.907956451767765","30.926154925489353",10,driving-car,"116102"
,"-6.9196474","30.9201412",10,driving-car,"116676"
,"-6.588060664641968","34.25769775027689",10,driving-car,"463903"
,"-7.636386270159137","33.58750743875122",10,driving-car,"671277"
,"-7.634642734854448","33.582830941143456",10,driving-car,"684297"
,"-7.617257037307092","33.58714849764602",10,driving-car,"1323522"
,"-7.638163315036611","33.58358575191838",10,driving-car,"629259"
,"-7.504983841945318","33.596529043466646",10,driving-car,"1582907"
,"-7.607318743621963","33.47467195088881",10,driving-car,"70027"
,"-7.638318894144045","33.480877247065486",10,driving-car,"190401"
,"-7.583912727442304","33.59228149497948",10,driving-car,"1628163"
,"-7.157591840279224","33.77774621970375",10,driving-car,"40012"
,"-5.291535268782102","35.65370281754488",10,driving-car,"69774"
,"-7.641767742891106","33.593091755555065",10,driving-car,"531838"
,"-7.646893995933429","33.58511538429243",10,driving-car,"520675"
,"-7.053181714096347","33.84044156235321",10,driving-car,"86633"
,"-6.838645817287767","34.02215463894762",10,driving-car,"979575"
,"-3.928551311128973","35.24081711172237",10,driving-car,"62151"
,"-4.742361806763451","32.68040154350419",10,driving-car,"69667"
,"-4.742568563023196","32.680421417221055",10,driving-car,"69613"
,"-5.107736799543823","33.529546648645564",10,driving-car,"20073"
,"-9.600225153359318","30.414218831669476",10,driving-car,"417353"
,"-6.864961483718513","33.962545127413385",10,driving-car,"637036"
