geometry,class_id,class_name
"POLYGON ((-7.673052917657209 33.59289656806285, -7.673052917657209 33.59289357491276, -7.673049324396074 33.59289357491276, -7.673049324396074 33.59289656806285, -7.673052917657209 33.59289656806285))",6,Villa
"POLYGON ((-7.673045731134938 33.592890581762575, -7.673045731134938 33.592887588612285, -7.673049324396074 33.592887588612285, -7.673049324396074 33.592881602311394, -7.673045731134938 33.592881602311394, -7.673045731134938 33.59287561601009, -7.6730421378738 33.59287561601009, -7.6730421378738 33.59287262285929, -7.673034951351527 33.59287262285929, -7.673034951351527 33.592890581762575, -7.673045731134938 33.592890581762575))",6,Villa
"POLYGON ((-7.673085257007438 33.592890581762575, -7.673085257007438 33.592887588612285, -7.673088850268575 33.592887588612285, -7.673088850268575 33.592884595461896, -7.673092443529711 33.592884595461896, -7.673092443529711 33.592881602311394, -7.673088850268575 33.592881602311394, -7.673088850268575 33.5928786091608, -7.673085257007438 33.5928786091608, -7.673085257007438 33.59285765710368, -7.673074477224029 33.59285765710368, -7.673074477224029 33.59286065025501, -7.673070883962892 33.59286065025501, -7.673070883962892 33.59286364340623, -7.673067290701756 33.59286364340623, -7.673067290701756 33.59286663655735, -7.673060104179482 33.59286663655735, -7.673060104179482 33.59287262285929, -7.673063697440619 33.59287262285929, -7.673063697440619 33.59287561601009, -7.673070883962892 33.59287561601009, -7.673070883962892 33.5928786091608, -7.673074477224029 33.5928786091608, -7.673074477224029 33.592884595461896, -7.673078070485166 33.592884595461896, -7.673078070485166 33.592890581762575, -7.673085257007438 33.592890581762575))",6,Villa
"POLYGON ((-7.673052917657209 33.59286364340623, -7.673052917657209 33.59286065025501, -7.673056510918346 33.59286065025501, -7.673056510918346 33.59285765710368, -7.673049324396074 33.59285765710368, -7.673049324396074 33.59286364340623, -7.673052917657209 33.59286364340623))",6,Villa
"POLYGON ((-7.673484108993586 33.59283670504148, -7.673484108993586 33.59283371188932, -7.673480515732451 33.59283371188932, -7.673480515732451 33.59283670504148, -7.673484108993586 33.59283670504148))",6,Villa
"POLYGON ((-7.673038544612663 33.59282772558469, -7.673038544612663 33.59281575297419, -7.673034951351527 33.59281575297419, -7.673034951351527 33.59282772558469, -7.673038544612663 33.59282772558469))",6,Villa
"POLYGON ((-7.673458956165632 33.592740924120896, -7.673458956165632 33.59273493780983, -7.6734553629044955 33.59273493780983, -7.6734553629044955 33.59273194465414, -7.673451769643359 33.59273194465414, -7.673451769643359 33.592740924120896, -7.673458956165632 33.592740924120896))",3,eau
"POLYGON ((-7.673444583121087 33.59280677351522, -7.673444583121087 33.592803780362026, -7.673448176382222 33.592803780362026, -7.673448176382222 33.592797794055315, -7.673451769643359 33.592797794055315, -7.673451769643359 33.59278881459448, -7.6734553629044955 33.59278881459448, -7.6734553629044955 33.59277983513272, -7.673451769643359 33.59277983513272, -7.673451769643359 33.592776841978576, -7.673437396598814 33.592776841978576, -7.673437396598814 33.59277384882434, -7.673440989859951 33.59277384882434, -7.673440989859951 33.592770855670004, -7.673451769643359 33.592770855670004, -7.673451769643359 33.59275588989674, -7.6734553629044955 33.59275588989674, -7.6734553629044955 33.59274391727627, -7.673451769643359 33.59274391727627, -7.673451769643359 33.592740924120896, -7.673448176382222 33.592740924120896, -7.673448176382222 33.59273493780983, -7.673440989859951 33.59273493780983, -7.673440989859951 33.59273194465414, -7.673437396598814 33.59273194465414, -7.673437396598814 33.592728951498344, -7.673423023554267 33.592728951498344, -7.673423023554267 33.59272595834245, -7.67341943029313 33.59272595834245, -7.67341943029313 33.592728951498344, -7.673412243770857 33.592728951498344, -7.673412243770857 33.59273493780983, -7.673408650509722 33.59273493780983, -7.673408650509722 33.59274391727627, -7.673405057248585 33.59274391727627, -7.673405057248585 33.59274691043155, -7.673401463987449 33.59274691043155, -7.673401463987449 33.59274990358672, -7.673397870726311 33.59274990358672, -7.673397870726311 33.592752896741786, -7.673405057248585 33.592752896741786, -7.673405057248585 33.59275588989674, -7.673408650509722 33.59275588989674, -7.673408650509722 33.59275888305161, -7.673412243770857 33.59275888305161, -7.673412243770857 33.592770855670004, -7.673408650509722 33.592770855670004, -7.673408650509722 33.5927918077482, -7.673412243770857 33.5927918077482, -7.673412243770857 33.59280078720872, -7.67341943029313 33.59280078720872, -7.67341943029313 33.592803780362026, -7.673423023554267 33.592803780362026, -7.673423023554267 33.59280677351522, -7.673444583121087 33.59280677351522))",6,Villa
"POLYGON ((-7.673433803337677 33.592728951498344, -7.673433803337677 33.59272296518645, -7.673426616815403 33.59272296518645, -7.673426616815403 33.592728951498344, -7.673433803337677 33.592728951498344))",3,eau
"POLYGON ((-7.673864994674054 33.592705006248266, -7.673864994674054 33.59269602677776, -7.673861401412918 33.59269602677776, -7.673861401412918 33.592693033620726, -7.673854214890644 33.592693033620726, -7.673854214890644 33.592705006248266, -7.673864994674054 33.592705006248266))",6,Villa
"POLYGON ((-7.673976385769285 33.592693033620726, -7.673976385769285 33.59269004046358, -7.673972792508148 33.59269004046358, -7.673972792508148 33.592693033620726, -7.673976385769285 33.592693033620726))",2,zone-verte
"POLYGON ((-7.673854214890644 33.592693033620726, -7.673854214890644 33.59269004046358, -7.673843435107234 33.59269004046358, -7.673843435107234 33.592693033620726, -7.673854214890644 33.592693033620726))",6,Villa
"POLYGON ((-7.673401463987449 33.59269602677776, -7.673401463987449 33.592693033620726, -7.673405057248585 33.592693033620726, -7.673405057248585 33.592687047306335, -7.673401463987449 33.592687047306335, -7.673401463987449 33.59268405414898, -7.673387090942903 33.59268405414898, -7.673387090942903 33.592687047306335, -7.673383497681766 33.592687047306335, -7.673383497681766 33.592693033620726, -7.673394277465174 33.592693033620726, -7.673394277465174 33.59269602677776, -7.673401463987449 33.59269602677776))",6,Villa
